"x","y","pm10_p904_22"
4341500,2602500,11.5966577529907
4342500,2602500,12.4342041015625
4343500,2602500,11.6818037033081
4344500,2602500,11.2555274963379
4345500,2602500,10.9605855941772
4346500,2602500,10.5659742355347
4347500,2602500,10.8797636032104
4348500,2602500,10.6845321655273
4349500,2602500,10.4426155090332
4350500,2602500,10.3784666061401
4351500,2602500,10.3960771560669
4352500,2602500,10.2750816345215
4353500,2602500,10.0666856765747
4354500,2602500,10.0480489730835
4355500,2602500,9.86940383911133
4326500,2601500,10.1609725952148
4327500,2601500,9.96757125854492
4328500,2601500,10.6154670715332
4329500,2601500,11.8481025695801
4330500,2601500,24.4865436553955
4331500,2601500,16.403491973877
4332500,2601500,10.8120679855347
4333500,2601500,10.6191854476929
4334500,2601500,24.557767868042
4335500,2601500,10.847713470459
