"x","y","o3_aot40f_22"
4211000,2611000,44051.09765625
4213000,2611000,53112.44921875
4215000,2611000,55709.71875
4217000,2611000,50379.42578125
4219000,2611000,52423.15234375
4221000,2611000,53676.1015625
4223000,2611000,53198.14453125
4225000,2611000,51895.31640625
4227000,2611000,55680.4453125
4229000,2611000,49904.05859375
4231000,2611000,46138.80859375
4233000,2611000,45199.32421875
4235000,2611000,54708.1328125
4237000,2611000,57922.40234375
4239000,2611000,50044.48828125
4241000,2611000,54242.07421875
4243000,2611000,53034.1484375
4245000,2611000,53787.1796875
4247000,2611000,55876.58203125
4249000,2611000,48529.59375
4251000,2611000,49158.37890625
4253000,2611000,55901.55859375
4255000,2611000,49069.26953125
4257000,2611000,41359.9765625
4259000,2611000,44493.71875
4261000,2611000,51956.48828125
4263000,2611000,54045.6015625
4265000,2611000,48143.140625
4267000,2611000,53568.0390625
4269000,2611000,57461.125
4271000,2611000,53123.48046875
4273000,2611000,50424.20703125
4275000,2611000,46507.12109375
4277000,2611000,36288.55859375
4279000,2611000,43776.203125
4281000,2611000,55204.609375
4283000,2611000,56805.78515625
4285000,2611000,50032.8203125
4287000,2611000,43479.9453125
4289000,2611000,38139.12109375
4291000,2611000,42302.5390625
4293000,2611000,51947.9609375
4295000,2611000,55288.9609375
4297000,2611000,55027.98046875
4299000,2611000,54279.3515625
4301000,2611000,48890.953125
4303000,2611000,43591.1875
4305000,2611000,48843.01953125
4307000,2611000,54000.9140625
4309000,2611000,53013.3984375
4311000,2611000,58214
4313000,2611000,54711.8515625
4315000,2611000,53162.6484375
4317000,2611000,47678.02734375
4319000,2611000,42619.578125
4321000,2611000,42965.9765625
4323000,2611000,44262
4325000,2611000,48323.609375
4327000,2611000,51346.62890625
4329000,2611000,55988.08984375
4331000,2611000,55590.40234375
4333000,2611000,53288.30078125
4335000,2611000,45145.5546875
4337000,2611000,48210.46875
4339000,2611000,46372.1953125
4341000,2611000,50080.9921875
4343000,2611000,53163.2734375
4345000,2611000,52247.8828125
4347000,2611000,46013.4609375
4349000,2611000,41409.35546875
4351000,2611000,42065.12109375
4353000,2611000,40071.80859375
4355000,2611000,38444.8359375
4357000,2611000,47773.34375
4359000,2611000,52229.1015625
4361000,2611000,47149.703125
4363000,2611000,40193.1796875
4365000,2611000,33138.40234375
4367000,2611000,32449.890625
4369000,2611000,32947.640625
4371000,2611000,33564.31640625
4373000,2611000,33396.06640625
4375000,2611000,31836.24609375
4377000,2611000,32420.1640625
4379000,2611000,32823.28125
4381000,2611000,32115.67578125
4383000,2611000,28887.1484375
4385000,2611000,27442.083984375
4387000,2611000,28274.609375
4389000,2611000,30378.4375
4391000,2611000,35969.7890625
4393000,2611000,39899.1015625
4395000,2611000,41333.3828125
4397000,2611000,42873.03125
4399000,2611000,48541.66015625
4401000,2611000,48672.2578125
4403000,2611000,41741.1953125
4405000,2611000,33836
4407000,2611000,31081.77734375
4409000,2611000,27599.658203125
4411000,2611000,24615.1640625
4413000,2611000,29268.48828125
4415000,2611000,38520.734375
4417000,2611000,40741.26953125
4419000,2611000,44672.80078125
4421000,2611000,44434.9609375
4423000,2611000,46078.89453125
4425000,2611000,44294.59765625
4427000,2611000,36854.046875
4429000,2611000,43072.328125
4431000,2611000,49155.6328125
4433000,2611000,50857
4435000,2611000,45666.80859375
4437000,2611000,36669.1796875
4439000,2611000,32027.71875
4441000,2611000,34725.46875
4443000,2611000,36082.14453125
4445000,2611000,37593.38671875
4447000,2611000,44682.359375
4449000,2611000,49872.4609375
4451000,2611000,47496.76171875
4453000,2611000,50109.44921875
4455000,2611000,51357.8359375
4457000,2611000,52656.71875
4459000,2611000,54000.1875
4461000,2611000,52462.45703125
4463000,2611000,52002.765625
4465000,2611000,45444.203125
4467000,2611000,36821.546875
4469000,2611000,41026.1796875
4471000,2611000,49295.69921875
4473000,2611000,52179.3359375
4475000,2611000,48096.98828125
4477000,2611000,45377.6796875
4479000,2611000,43807.46875
4481000,2611000,37677.8828125
4483000,2611000,36475.64453125
4485000,2611000,39498.859375
4487000,2611000,44742.6328125
4489000,2611000,49797.1796875
