"x","y","no2_avg_22"
4345500,2606500,3.28055787086487
4346500,2606500,3.28060507774353
4347500,2606500,3.34239864349365
4348500,2606500,3.46800947189331
4328500,2605500,3.32341265678406
4329500,2605500,3.41136002540588
4330500,2605500,3.52554869651794
4331500,2605500,3.56944417953491
4332500,2605500,3.58392786979675
4333500,2605500,3.57960152626038
4334500,2605500,3.5183572769165
4335500,2605500,3.42950105667114
4336500,2605500,3.33004450798035
4337500,2605500,3.30721354484558
4338500,2605500,3.254230260849
4339500,2605500,3.11655712127686
4340500,2605500,3.12727069854736
4341500,2605500,3.18732118606567
4342500,2605500,3.17644333839417
4343500,2605500,3.18162322044373
4344500,2605500,3.32950282096863
4345500,2605500,3.33246302604675
4346500,2605500,3.30096578598022
4347500,2605500,3.29453611373901
4348500,2605500,3.35252690315247
4349500,2605500,3.43045425415039
4350500,2605500,3.48098373413086
4327500,2604500,3.31752705574036
4328500,2604500,3.40583443641663
4329500,2604500,3.54840731620789
4330500,2604500,3.67194843292236
4331500,2604500,11.7188711166382
4332500,2604500,3.82640933990479
4333500,2604500,3.69376850128174
4334500,2604500,3.60110235214233
4335500,2604500,3.48714160919189
4336500,2604500,3.38879752159119
4337500,2604500,3.33328080177307
4338500,2604500,3.25322103500366
4339500,2604500,3.15084862709045
4340500,2604500,3.17984104156494
4341500,2604500,3.18319082260132
4342500,2604500,3.18334412574768
4343500,2604500,3.169766664505
4344500,2604500,3.31372499465942
4345500,2604500,3.30686640739441
4346500,2604500,3.29798150062561
4347500,2604500,3.29862546920776
4348500,2604500,3.33661222457886
4349500,2604500,3.31505799293518
4350500,2604500,3.31379055976868
4351500,2604500,3.38357448577881
4352500,2604500,3.51345586776733
4327500,2603500,3.29604291915894
4328500,2603500,3.37651968002319
4329500,2603500,3.53833436965942
4330500,2603500,3.65134239196777
4331500,2603500,12.0511608123779
4332500,2603500,4.28314208984375
4333500,2603500,3.65508365631104
4334500,2603500,3.58957171440125
4335500,2603500,3.41443228721619
4336500,2603500,3.32051038742065
4337500,2603500,3.23163986206055
4338500,2603500,3.17897367477417
4339500,2603500,3.09515905380249
4340500,2603500,3.13720488548279
4341500,2603500,3.13706803321838
4342500,2603500,3.09930372238159
4343500,2603500,3.09969449043274
4344500,2603500,3.25770807266235
4345500,2603500,3.24823045730591
4346500,2603500,3.25397539138794
4347500,2603500,3.20861887931824
4348500,2603500,3.22966265678406
4349500,2603500,3.21583557128906
4350500,2603500,3.19950771331787
4351500,2603500,3.26571893692017
4352500,2603500,3.38267207145691
4353500,2603500,3.38453841209412
4354500,2603500,3.38265991210938
4327500,2602500,3.30548357963562
4328500,2602500,3.40787124633789
4329500,2602500,3.59901642799377
4330500,2602500,6.71968364715576
4331500,2602500,12.970175743103
4332500,2602500,3.78068351745605
4333500,2602500,3.71399641036987
4334500,2602500,4.9090518951416
4335500,2602500,3.93958282470703
4336500,2602500,3.30099630355835
4337500,2602500,3.23984336853027
4338500,2602500,3.21818447113037
4339500,2602500,3.1683611869812
4340500,2602500,3.19839811325073
4341500,2602500,3.20884847640991
4342500,2602500,3.18066239356995
4343500,2602500,3.14962768554688
4344500,2602500,3.32272863388062
4345500,2602500,3.27097058296204
4346500,2602500,3.21311092376709
4347500,2602500,3.21631574630737
4348500,2602500,3.21908497810364
4349500,2602500,3.18205952644348
4350500,2602500,3.16735482215881
4351500,2602500,3.22321820259094
4352500,2602500,3.34580302238464
4353500,2602500,3.34329843521118
4354500,2602500,3.33381748199463
4355500,2602500,3.38444685935974
4326500,2601500,3.18482995033264
4327500,2601500,3.33152890205383
4328500,2601500,3.4428174495697
4329500,2601500,3.60724306106567
4330500,2601500,11.543345451355
4331500,2601500,6.9169659614563
4332500,2601500,3.79229497909546
4333500,2601500,3.70294618606567
4334500,2601500,11.4121856689453
4335500,2601500,3.37733888626099
4336500,2601500,3.23070812225342
4337500,2601500,3.20117592811584
4338500,2601500,3.27983641624451
4339500,2601500,3.25146150588989
4340500,2601500,3.2784309387207
4341500,2601500,3.34707856178284
4342500,2601500,3.3377320766449
4343500,2601500,3.28083252906799
4344500,2601500,3.38817977905273
4345500,2601500,3.37395882606506
4346500,2601500,3.31445407867432
4347500,2601500,3.24864864349365
4348500,2601500,3.24644589424133
4349500,2601500,3.195955991745
4350500,2601500,3.12716627120972
4351500,2601500,3.17294716835022
4352500,2601500,3.31493139266968
4353500,2601500,3.31079053878784
4354500,2601500,3.33224272727966
4355500,2601500,3.37770128250122
4356500,2601500,3.48024892807007
4357500,2601500,3.52072930335999
4326500,2600500,3.16337966918945
4327500,2600500,3.31989288330078
4328500,2600500,3.4535186290741
4329500,2600500,3.59520554542542
4330500,2600500,11.3924751281738
4331500,2600500,3.76163673400879
4332500,2600500,3.77890276908875
4333500,2600500,3.69236636161804
4334500,2600500,4.31333637237549
4335500,2600500,3.38017177581787
4336500,2600500,3.16372728347778
4337500,2600500,3.1947979927063
4338500,2600500,3.30195951461792
4339500,2600500,3.26148056983948
4340500,2600500,3.38085031509399
4341500,2600500,3.42129302024841
4342500,2600500,3.40818238258362
4343500,2600500,3.38278722763062
4344500,2600500,3.56189250946045
4345500,2600500,3.53307414054871
4346500,2600500,3.47693157196045
4347500,2600500,3.39840888977051
4348500,2600500,3.38028430938721
4349500,2600500,3.28876495361328
4350500,2600500,3.19439125061035
4351500,2600500,3.18952870368958
4352500,2600500,3.31942987442017
4353500,2600500,3.30661487579346
4354500,2600500,3.32023692131042
4355500,2600500,3.36925435066223
4356500,2600500,3.44624328613281
4357500,2600500,3.48672199249268
4358500,2600500,3.52729916572571
4326500,2599500,3.12240290641785
4327500,2599500,3.23664665222168
4328500,2599500,3.36834764480591
4329500,2599500,3.51896262168884
4330500,2599500,9.55226802825928
4331500,2599500,3.71228313446045
4332500,2599500,3.70467972755432
4333500,2599500,3.57218861579895
4334500,2599500,3.40705013275146
4335500,2599500,3.20940494537354
4336500,2599500,3.0805139541626
4337500,2599500,3.17345476150513
4338500,2599500,3.284264087677
4339500,2599500,3.25711250305176
4340500,2599500,3.37365341186523
4341500,2599500,3.43689656257629
4342500,2599500,3.44807696342468
4343500,2599500,3.50779485702515
4344500,2599500,3.69555115699768
4345500,2599500,3.67941045761108
4346500,2599500,3.64234113693237
4347500,2599500,3.57643914222717
4348500,2599500,3.5555727481842
4349500,2599500,3.44779849052429
4350500,2599500,3.36178708076477
4351500,2599500,3.34684228897095
4352500,2599500,3.40810656547546
4353500,2599500,3.38194799423218
4354500,2599500,3.34373307228088
4355500,2599500,3.35326433181763
4356500,2599500,3.42214703559875
4357500,2599500,3.44636631011963
4358500,2599500,3.4705958366394
4359500,2599500,3.45107412338257
4360500,2599500,3.43382716178894
4268500,2598500,4.04780340194702
4269500,2598500,4.03345632553101
4270500,2598500,4.02538585662842
4326500,2598500,3.11143159866333
4327500,2598500,3.19545125961304
4328500,2598500,3.30104994773865
4329500,2598500,3.65831875801086
4330500,2598500,3.47787857055664
4331500,2598500,3.56679034233093
4332500,2598500,3.54643964767456
4333500,2598500,3.37286615371704
4334500,2598500,3.25176358222961
4335500,2598500,3.0706832408905
4336500,2598500,3.05136132240295
4337500,2598500,3.16051363945007
4338500,2598500,3.18624758720398
4339500,2598500,3.19277882575989
4340500,2598500,3.34354114532471
4341500,2598500,3.47675776481628
4342500,2598500,3.53478026390076
4343500,2598500,3.63018178939819
4344500,2598500,3.92996716499329
4345500,2598500,3.97560024261475
4346500,2598500,3.90724325180054
4347500,2598500,3.88952541351318
4348500,2598500,3.88756465911865
4349500,2598500,3.76710319519043
4350500,2598500,3.69572830200195
4351500,2598500,3.60273599624634
4352500,2598500,3.42364048957825
4353500,2598500,3.33710765838623
4354500,2598500,3.28911423683167
4355500,2598500,3.24071502685547
4356500,2598500,3.2891845703125
4357500,2598500,3.26754570007324
4358500,2598500,3.26382088661194
4359500,2598500,3.21745872497559
4360500,2598500,3.16551423072815
4361500,2598500,3.19897246360779
4267500,2597500,3.94483089447021
4268500,2597500,4.04412937164307
4269500,2597500,4.05714082717896
4270500,2597500,4.08466815948486
4271500,2597500,4.02491569519043
4272500,2597500,4.03238964080811
4273500,2597500,4.00620365142822
4274500,2597500,3.94912505149841
4325500,2597500,2.92093849182129
