"x","y","EEA_1kmgrid_2017_pm25_avg"
4520500,2618500,4.27365016937256
4521500,2618500,4.35613012313843
4522500,2618500,4.32547998428345
4523500,2618500,4.26401996612549
4524500,2618500,4.30108976364136
4525500,2618500,4.21099996566772
4526500,2618500,4.30853986740112
4527500,2618500,4.36789989471436
4528500,2618500,4.67873001098633
4529500,2618500,4.65199995040894
4479500,2617500,4.16023015975952
4480500,2617500,4.17008018493652
4481500,2617500,4.15699005126953
4482500,2617500,4.035719871521
4483500,2617500,3.99776005744934
4484500,2617500,4.04793977737427
4485500,2617500,4.05637979507446
4486500,2617500,4.14263010025024
4487500,2617500,4.23160982131958
4488500,2617500,4.19722986221313
4502500,2617500,4.63458013534546
4503500,2617500,4.50124979019165
4504500,2617500,4.67187023162842
4505500,2617500,4.43886995315552
4506500,2617500,4.52504014968872
4507500,2617500,4.62590980529785
4508500,2617500,4.67732000350952
4509500,2617500,4.68273019790649
4510500,2617500,4.5721697807312
4511500,2617500,4.43956995010376
4512500,2617500,4.31326007843018
4513500,2617500,4.30518007278442
4514500,2617500,4.45931005477905
4515500,2617500,4.4444899559021
4516500,2617500,4.42111015319824
4517500,2617500,4.31927013397217
4518500,2617500,4.30117988586426
4519500,2617500,4.44354009628296
4520500,2617500,4.42640018463135
4521500,2617500,4.48433017730713
4522500,2617500,4.44721984863281
4523500,2617500,4.40741014480591
4524500,2617500,4.39750003814697
4525500,2617500,4.35351991653442
4526500,2617500,4.41091012954712
4527500,2617500,4.42960977554321
4528500,2617500,4.76332998275757
4529500,2617500,4.67836999893188
4530500,2617500,4.6746997833252
4479500,2616500,4.21177005767822
4480500,2616500,4.25149011611938
4481500,2616500,4.23610019683838
4482500,2616500,4.10130977630615
4483500,2616500,3.9819700717926
4484500,2616500,3.92026996612549
4485500,2616500,3.93966007232666
4486500,2616500,4.03711986541748
4487500,2616500,4.20048999786377
4488500,2616500,4.2047700881958
4489500,2616500,4.33684015274048
4490500,2616500,4.46583986282349
4491500,2616500,4.60768985748291
4492500,2616500,4.7414698600769
4493500,2616500,4.5970401763916
4494500,2616500,4.51494979858398
4495500,2616500,4.54680013656616
4501500,2616500,4.75254011154175
4502500,2616500,4.62907981872559
4503500,2616500,4.43024015426636
4504500,2616500,4.55964994430542
4505500,2616500,4.46017980575562
4506500,2616500,4.59775018692017
4507500,2616500,4.67324018478394
4508500,2616500,4.72324991226196
4509500,2616500,4.75256013870239
4510500,2616500,4.67027997970581
4511500,2616500,4.53884983062744
4512500,2616500,4.36980009078979
4513500,2616500,4.3276801109314
4514500,2616500,4.48126983642578
4515500,2616500,4.43418979644775
4516500,2616500,4.31020021438599
4517500,2616500,4.23024988174438
4518500,2616500,4.33247995376587
4519500,2616500,4.40873003005981
4520500,2616500,4.45458984375
4521500,2616500,4.53394985198975
4522500,2616500,4.56539011001587
4523500,2616500,4.52363014221191
4524500,2616500,4.58965015411377
4525500,2616500,4.64806985855103
4526500,2616500,4.50599002838135
4527500,2616500,4.48730993270874
4528500,2616500,4.76980018615723
4529500,2616500,4.64560985565186
4530500,2616500,4.67839002609253
4478500,2615500,4.21585988998413
4479500,2615500,4.19202995300293
4480500,2615500,4.21156978607178
4481500,2615500,4.32234001159668
4482500,2615500,4.21069002151489
4483500,2615500,4.08126020431519
4484500,2615500,4.00308990478516
4485500,2615500,3.943039894104
4486500,2615500,4.11037015914917
4487500,2615500,4.27699995040894
4488500,2615500,4.29984998703003
4489500,2615500,4.44084978103638
4490500,2615500,4.60094022750854
4491500,2615500,4.66805982589722
4492500,2615500,4.62268018722534
4493500,2615500,4.63860988616943
4494500,2615500,4.66378021240234
4495500,2615500,4.62166976928711
4496500,2615500,4.48313999176025
4497500,2615500,4.56947994232178
4498500,2615500,4.52926015853882
4499500,2615500,4.58179998397827
4500500,2615500,4.55295991897583
4501500,2615500,4.6254301071167
4502500,2615500,4.62249994277954
4503500,2615500,4.43676996231079
4504500,2615500,4.44940996170044
4505500,2615500,4.3410701751709
4506500,2615500,4.51562023162842
4507500,2615500,4.63487005233765
4508500,2615500,4.68317985534668
4509500,2615500,4.81067991256714
4510500,2615500,5.18341016769409
4511500,2615500,4.63550996780396
4512500,2615500,4.46398019790649
4513500,2615500,4.3309497833252
4514500,2615500,4.51413011550903
4515500,2615500,4.49441003799438
