"x","y","nox_avg_22"
4335000,2591000,2.47213840484619
4337000,2591000,3.40757918357849
4339000,2591000,3.31071591377258
4341000,2591000,2.94015741348267
4343000,2591000,2.7621111869812
4345000,2591000,3.0287446975708
4347000,2591000,6.16746950149536
4349000,2591000,7.45894956588745
4351000,2591000,4.71428298950195
4353000,2591000,3.03323554992676
4355000,2591000,4.9249439239502
4357000,2591000,4.72405529022217
4359000,2591000,2.72350573539734
4361000,2591000,1.75517129898071
4363000,2591000,2.05713844299316
4365000,2591000,2.19620037078857
4367000,2591000,0.862557888031006
4369000,2591000,0.0500000007450581
4189000,2589000,1.41149628162384
4191000,2589000,0.818896591663361
4193000,2589000,1.52337312698364
4195000,2589000,1.31319582462311
4197000,2589000,2.23668575286865
4199000,2589000,4.37700891494751
4201000,2589000,2.3321795463562
4203000,2589000,0.827647805213928
4265000,2589000,4.04517841339111
4267000,2589000,5.14109802246094
4269000,2589000,7.43585634231567
4271000,2589000,8.6894063949585
4273000,2589000,7.01615476608276
4275000,2589000,3.67129802703857
4277000,2589000,3.57442951202393
4279000,2589000,2.75700044631958
4281000,2589000,2.98816895484924
4283000,2589000,3.1118369102478
4329000,2589000,1.99761128425598
4331000,2589000,2.56697773933411
4333000,2589000,2.32758355140686
4335000,2589000,2.12908244132996
4337000,2589000,2.84161376953125
4339000,2589000,2.17192459106445
4341000,2589000,2.81276082992554
4343000,2589000,1.28782069683075
4345000,2589000,3.82484316825867
4347000,2589000,6.74288988113403
4349000,2589000,6.83058595657349
4351000,2589000,3.03540992736816
4353000,2589000,2.47892117500305
4355000,2589000,3.31243395805359
4357000,2589000,4.46699571609497
4359000,2589000,4.89066743850708
4361000,2589000,4.10272741317749
4363000,2589000,3.07492518424988
4365000,2589000,2.70174956321716
4367000,2589000,1.05128943920135
4187000,2587000,2.98819279670715
4189000,2587000,2.42177033424377
4191000,2587000,0.835792779922485
4193000,2587000,1.43281149864197
4195000,2587000,2.30183625221252
4197000,2587000,2.3951199054718
4199000,2587000,4.34463882446289
4201000,2587000,3.2732834815979
4203000,2587000,1.43966603279114
4263000,2587000,7.65922117233276
4265000,2587000,3.86870718002319
4267000,2587000,5.43582010269165
4269000,2587000,7.63041734695435
4271000,2587000,9.7040491104126
4273000,2587000,8.12876033782959
4275000,2587000,5.24576568603516
4277000,2587000,2.81581974029541
4279000,2587000,3.17051696777344
4281000,2587000,2.72058987617493
4283000,2587000,3.29504752159119
4331000,2587000,3.4925696849823
4333000,2587000,1.83042120933533
4335000,2587000,1.99956488609314
4337000,2587000,1.81602430343628
4339000,2587000,2.14866399765015
4341000,2587000,3.63869547843933
4343000,2587000,2.085608959198
4345000,2587000,3.40113377571106
4347000,2587000,6.49212312698364
4349000,2587000,6.67625951766968
4351000,2587000,2.95201444625854
4353000,2587000,1.88719964027405
4355000,2587000,1.13865613937378
4357000,2587000,2.41627740859985
4359000,2587000,3.51488256454468
4361000,2587000,2.48276591300964
4363000,2587000,0.601568400859833
4365000,2587000,1.32586860656738
4185000,2585000,3.12303709983826
4187000,2585000,1.83113729953766
4189000,2585000,2.22720336914062
4191000,2585000,2.56181454658508
4193000,2585000,1.64444327354431
4195000,2585000,1.81059157848358
4197000,2585000,1.64262580871582
4199000,2585000,3.93928027153015
4201000,2585000,3.98773956298828
